region,fishID,total.length,dN,dC
SAB,sab210,16.5,11.59,-15.06
SAB,sab248,11,12.4569,-15.8246
SAB,sab228,11.8,12.1,-16.3899
SAB,sab309,13.3,9.1655,-13.9862
SAB,sab315,13.3,9.6378,-13.8572
SAB,sab211,13.7,12.9403,-16.9406
SAB,sab312,13.8,9.4773,-14.0725
SAB,sab219,14.4,11.3507,-14.8147
SAB,sab206,14.7,11.981,-16.7468
SAB,sab318,15,9.5538,-13.1577
SAB,sab227,15.2,12.448,-16.805
SAB,sab325,15.4,10.0876,-13.9963
SAB,sab202,15.7,12.5391,-16.1065
SAB,sab113,17.1,10.2126,-13.3034
SAB,sab213,17.2,12.9501,-15.792
SAB,sab214,17.3,12.047,-15.7437
SAB,sab204,17.4,13.4128,-15.6839
SAB,sab220,18.2,12.2837,-15.5025
SAB,sab111,19,11.1725,-13.6746
SAB,sab229,19,12.35,-16.1627
SAB,sab215,19.1,13.4107,-15.5058
SAB,sab109,20,10.7169,-13.1844
SAB,sab209,20.3,12.949,-16.5063
SAB,sab002,21,13.1842,-15.6729
SAB,sab129,21.1,10.8093,-13.4874
SAB,sab217,21.1,13.202,-16.5111
SAB,sab323,21.3,10.95885,-14.64415
SAB,sab119,21.8,10.9003,-14.1506
SAB,sab122,22.5,12.4623,-15.0112
SAB,sab021,23,13.0779,-16.4324
SAB,sab120,24.6,11.992,-14.797
SAB,sab018,24.8,12.4987,-16.2438
SJB,sjb213,11.9,11.2755,-13.5398
SJB,sjb203,12.2,11.0492,-13.5349
SJB,sjb202,12.2,11.8793,-14.735
SJB,sjb220,12.9,10.9073,-16.5604
SJB,sjb230,13.3,11.4127,-14.0412
SJB,sjb319,13.5,10.2501,-11.1603
SJB,sjb050,14,11.7036,-14.4857
SJB,sjb119,15,9.9446,-12.2206
SJB,sjb228,15,13.2463,-15.4827
SJB,sjb318,16,9.8719,-11.4511
SJB,sjb109,16.7,10.774,-12.7383
SJB,sjb321,16.9,10.3683,-11.9074
SJB,sjb205,17,12.6572,-15.1245
SJB,sjb209,17,13.0699,-15.3348
SJB,sjb106,17.2,10.0083,-11.8744
SJB,sjb036,18,12.1634,-15.7889
SJB,sjb112,18.4,11.182,-13.6612
SJB,sjb047,19.1,11.658,-15.1979
SJB,sjb110,19.3,10.274,-12.2212
SJB,sjb123,19.5,11.109,-13.2566
SJB,sjb038,20,12.3032,-15.4202
SJB,sjb033,20,14.089,-17.2431
SJB,sjb105,20.3,11.144,-13.8559
SJB,sjb126,20.5,10.5056,-12.2657
SJB,sjb027,21.5,13.1058,-16.1992
SJB,sjb104,21.6,11.0688,-12.3536
SJB,sjb130,21.6,11.252,-12.9435
SJB,sjb032,23,12.3298,-15.737
SJB,sjb021,23,13.7177,-16.6064
SJB,sjb023,23.1,12.0684,-14.9377
SJB,sjb129,24,11.6715,-13.4958
SJB,sjb024,24.1,13.1504,-15.161
TPS,tps316,15.2,10.63,-13.42
TPS,tps313,11.2,8.6819,-12.3378
TPS,tps221,12.5,10.8244,-13.7936
TPS,tps331,12.7,9.3118,-12.5141
TPS,tps001,13,10.8313,-15.0938
TPS,tps318,13.1,9.4668,-14.0035
TPS,tps319,13.7,9.103,-12.9807
TPS,tps223,14,11.655,-14.6659
TPS,tps302,14.8,10.7072,-14.8421
TPS,tps315,15.3,10.3246,-13.6372
TPS,tps220,16.1,10.6712,-14.2106
TPS,tps202,16.7,11.8134,-14.6222
TPS,tps307,17,10.0694,-13.9799
TPS,tps102,17.3,11.2287,-13.5859
TPS,tps304,18,10.3179,-14.0353
TPS,tps219,18.1,11.8929,-15.2906
TPS,tps128,19,9.7272,-12.8367
TPS,tps203,19.2,12.0355,-15.3819
TPS,tps129,19.5,11.2614,-14.6654
TPS,tps040,20,13.3007,-17.2681
TPS,tps117,20.1,10.0476,-13.1466
TPS,tps229,21,12.8303,-16.6112
TPS,tps105,21.3,10.7487,-14.0886
TPS,tps115,21.6,10.9162,-14.5223
TPS,tps107,22,10.2621,-12.607
TPS,tps116,22,11.3572,-14.8729
TPS,tps038,23,11.3741,-15.1677
TPS,tps039,23,12.9632,-16.2779
TPS,tps109,23.6,11.8156,-14.0392
TPS,tps024,24,10.6691,-14.6893
TPS,tps031,25,12.2296,-15.6851
TPS,tps018,25.3,12.7988,-15.768
BBR,ced208,13.3,12.24,-17.13
BBR,hsb324,15.7,12.48,-17.71
BBR,hsb330,17.6,11.91,-16.74
BBR,hsb313,21.5,11.76,-16.28
BBR,hsb2,23.5,12.24,-16.93
BBR,ced123,15.4,11.97,-16.8
BBR,ced126,12.6,11.9691,-16.4575
BBR,ced317,12.6,13.1635,-17.5773
BBR,ced209,14,12.2716,-17.4111
BBR,ced322,14.1,13.2147,-17.9
BBR,ced205,14.6,12.479,-18.6241
BBR,ced119,15,11.0033,-16.389
BBR,ced122,16,10.6636,-15.8157
BBR,ced128,16.2,12.1901,-16.7312
BBR,ced103,17,10.8351,-15.6583
BBR,ced206,17,12.906,-17.8243
BBR,ced117,17.4,12.3436,-16.3653
BBR,ced311,18,12.3828,-17.3854
BBR,ced202,18.6,12.511,-18.1088
BBR,ced129,18.8,12.728,-16.9617
BBR,ced304,19,11.7783,-16.9121
BBR,ced207,19.6,13.079,-18.2252
BBR,ced314,20,12.1963,-17.301
BBR,ced116,20.1,12.9849,-16.6016
BBR,hsb312,20.9,11.0923,-17.2513
BBR,ced112,21.7,13.01,-17.1116
BBR,hsb323,22,9.2101,-13.4608
BBR,ced111,22,12.9828,-16.3922
BBR,ced001,22.6,13.6295,-17.5053
BBR,hsb305,23,11.3613,-17.2348
BBR,hsb308,23.9,11.866,-17.4477
BBR,hsb333,24.4,11.9529,-17.7348
TAM,egm124,13.5,9.61,-14.23
TAM,mul320,14.7,9.73,-13.67
TAM,mul130,17.3,10.48,-14.78
TAM,mul127,19.7,10.01,-14.26
TAM,mul126,21.5,10.29,-14.85
TAM,mul308,22.8,11.04,-15.59
TAM,egm118,20.4,10.73,-15.74
TAM,egm104,13,10.6778,-15.9245
TAM,mul328,13.5,7.9949,-11.8209
TAM,egm111,13.5,10.2052,-15.6393
TAM,mul319,14.3,8.7017,-14.672
TAM,egm125,15.1,10.1758,-14.2803
TAM,mul329,15.2,10.3258,-15.7388
TAM,egm114,15.6,10.4557,-15.6854
TAM,mul310,16.4,9.7034,-15.3796
TAM,egm102,17.1,10.9679,-15.937
TAM,mul313,17.3,9.8519,-14.3781
TAM,egm107,18.3,10.8389,-15.4645
TAM,mul321,18.7,10.13675,-14.6423
TAM,egm108,19,9.4357,-14.4501
TAM,egm117,19.4,10.7453,-15.4088
TAM,mul309,20,10.338,-15.0411
TAM,mul307,21.2,10.8356,-14.2958
TAM,egm101,21.3,11.6512,-15.8102
TAM,mul304,21.7,10.965,-15.7075
TAM,mul306,22.2,10.4947,-13.9044
TAM,egm112,22.9,9.9551,-15.2989
TAM,mul302,23.2,9.119,-11.6948
TAM,egm106,23.4,11.2897,-15.5096
TAM,mul315,24.3,10.9929,-14.7369
TAM,egm105,25.4,10.2276,-14.3417
TAM,egm110,25.5,11.2178,-15.3646
SAR,sar309,15.6,9.04,-12.24
SAR,sar120,18.2,6.51,-13.39
SAR,sar111,19.7,9.73,-14.2
SAR,sar155,23.2,9.88,-14.94
SAR,sar150,12,9.3995,-13.027
SAR,sar321,13.7,8.8192,-13.511
SAR,sar320,13.9,7.7821,-13.764
SAR,sar303,14,9.22,-13.9657
SAR,sar324,14.1,8.81,-14.545
SAR,sar316,14.9,9.4485,-13.8923
SAR,sar306,15.5,8.4338,-13.6166
SAR,sar310,15.8,10.8215,-15.6229
SAR,sar315,16.2,7.6577,-12.9473
SAR,sar314,16.8,9.43635,-14.23275
SAR,sar326,16.9,9.621,-14.923
SAR,sar330,17,9,-14.4652
SAR,sar044,18,9.9852,-14.304
SAR,sar117,18.5,9.6804,-14.2611
SAR,sar037,19.2,9.073,-12.9842
SAR,sar108,20.4,10.5656,-15.089
SAR,sar151,20.5,9.6298,-11.6631
SAR,sar301,20.5,10.13,-15.3534
SAR,sar156,21,8.4383,-9.5286
SAR,sar222,21.2,11.6327,-15.1399
SAR,sar149,21.9,9.7133,-13.4179
SAR,sar118,22.6,10.2673,-13.6877
SAR,sar112,23,9.5963,-13.5631
SAR,sar302,23.2,11.198,-14.6882
SAR,sar116,24,10.627,-14.7628
SAR,sar153,24.7,11.3321,-13.6993
SAR,sar110,24.8,11.0055,-14.4868
SAR,sar107,25,9.9636,-13.8147
PIS,jug256,14.6,10.24,-15.07
PIS,jug301,20.9,10.09,-13.74
PIS,red216,10.3,11.1645,-15.258
PIS,red210,11.2,10.353,-14.8958
PIS,red201,11.6,11.3637,-15.1956
PIS,jug238,12.1,9.143,-15.2278
PIS,red217,12.6,11.1438,-14.6577
PIS,jug253,13.1,9.2664,-15.4954
PIS,red229,13.6,10.9707,-14.724
PIS,red220,14,9.1925,-12.6235
PIS,red223,15,11.3528,-14.3504
PIS,jug236,15.1,9.7619,-15.3203
PIS,red219,16,10.0458,-12.466
PIS,jug304,16.1,8.985,-14.6462
PIS,red225,16.9,9.9313,-13.7834
PIS,jug230,17.4,9.5435,-17.8132
PIS,jug247,17.8,9.6464,-15.5045
PIS,red214,18,11.4214,-14.0488
PIS,red008,18.6,10.6141,-14.4839
PIS,jug231,19,9.021,-13.7188
PIS,jug249,20,10.8904,-16.532
PIS,jug322,20.2,9.664,-13.5076
PIS,red012,20.3,10.5134,-13.6224
PIS,jug308,20.6,9.2942,-13.7757
PIS,red010,21.9,9.3129,-13.4996
PIS,red009,22.5,11.772,-15.6181
PIS,red123,22.6,9.4574,-11.7191
PIS,red001,23.3,10.8389,-13.5235
PIS,red014,24.2,10.9326,-13.1874
PIS,red006,24.5,10.1064,-11.6591
PIS,red016,25.2,9.1113,-11.4125
PIS,red007,25.6,9.4326,-11.86
